Token           Lexeme
______________________

Keyword         function
Identifier      convert1x
Separator       (
Identifier      fahr
Keyword         int
Separator       )
Separator       {
Keyword         return
Integer         5
Operator        *
Separator       (
Identifier      fahr
Operator        -
Real            32.00
Separator       )
Operator        /
Integer         9
Separator       ;
Separator       }
Separator       #
Identifier      Int
Identifier      low
Separator       ,
Identifier      high
Separator       ,
Identifier      step
Separator       ;
Separator       #
Keyword         get
Separator       (
Identifier      low
Separator       ,
Identifier      high
Separator       ,
Identifier      step
Separator       )
Separator       ;
Keyword         while
Separator       (
Identifier      low
Operator        <=
Identifier      high
Separator       )
Separator       {
Keyword         put
Separator       (
Identifier      low
Separator       )
Separator       ;
Keyword         put
Separator       (
Identifier      convert1x
Separator       (
Identifier      low
Separator       )
Separator       )
Separator       ;
Identifier      low
Operator        =
Identifier      low
Operator        +
Identifier      step
Separator       ;
Separator       }
Keyword         endwhile
Separator       ;
